"Vb","Ib","Vc"
1.37637637638,4.39e-07,2.665
1.38138138138,4.41e-07,2.65
1.38638638639,4.43e-07,2.635
1.39139139139,4.45e-07,2.62
1.3963963964,4.49e-07,2.605
1.4014014014,4.52e-07,2.59
1.40640640641,4.54e-07,2.575
1.41141141141,4.57e-07,2.56
1.41641641642,4.6e-07,2.545
1.42142142142,4.64e-07,2.53
1.42642642643,4.66e-07,2.515
1.43143143143,4.66e-07,2.5
1.43643643644,4.71e-07,2.485
1.44144144144,4.71e-07,2.47
1.44644644645,4.76e-07,2.46
1.45145145145,4.74e-07,2.445
1.45645645646,4.83e-07,2.43
1.46146146146,4.83e-07,2.415
1.46646646647,4.85e-07,2.4
1.47147147147,4.89e-07,2.385
1.47647647648,4.9e-07,2.37
1.48148148148,4.95e-07,2.355
1.48648648649,4.96e-07,2.34
1.49149149149,5e-07,2.32
1.4964964965,5.03e-07,2.305
1.5015015015,5.03e-07,2.29
1.50650650651,5.08e-07,2.275
1.51151151151,5.11e-07,2.26
1.51651651652,5.16e-07,2.245
1.52152152152,5.15e-07,2.23
1.52652652653,5.19e-07,2.215
1.53153153153,5.18e-07,2.2
1.53653653654,5.21e-07,2.185
1.54154154154,5.27e-07,2.17
1.54654654655,5.3e-07,2.155
1.55155155155,5.33e-07,2.14
1.55655655656,5.33e-07,2.125
1.56156156156,5.37e-07,2.11
1.56656656657,5.41e-07,2.095
1.57157157157,5.42e-07,2.08
1.57657657658,5.43e-07,2.065
1.58158158158,5.48e-07,2.05
1.58658658659,5.52e-07,2.035
1.59159159159,5.52e-07,2.02
1.5965965966,5.57e-07,2.005
1.6016016016,5.64e-07,1.99
1.60660660661,5.65e-07,1.975
1.61161161161,5.65e-07,1.96
1.61661661662,5.67e-07,1.945
1.62162162162,5.7e-07,1.93
1.62662662663,5.74e-07,1.915
1.63163163163,5.75e-07,1.9
1.63663663664,5.76e-07,1.885
1.64164164164,5.8e-07,1.87
1.64664664665,5.83e-07,1.855
1.65165165165,5.89e-07,1.84
1.65665665666,5.89e-07,1.825
1.66166166166,5.92e-07,1.81
1.66666666667,5.94e-07,1.795
1.67167167167,5.97e-07,1.78
1.67667667668,6.02e-07,1.765
1.68168168168,6.03e-07,1.75
1.68668668669,6.05e-07,1.735
1.69169169169,6.08e-07,1.72
1.6966966967,6.1e-07,1.705
1.7017017017,6.13e-07,1.69
1.70670670671,6.14e-07,1.675
1.71171171171,6.2e-07,1.66
1.71671671672,6.19e-07,1.645
1.72172172172,6.21e-07,1.63
1.72672672673,6.26e-07,1.615
1.73173173173,6.29e-07,1.6
1.73673673674,6.34e-07,1.59
1.74174174174,6.35e-07,1.57
1.74674674675,6.36e-07,1.555
1.75175175175,6.41e-07,1.54
1.75675675676,6.42e-07,1.525
1.76176176176,6.46e-07,1.51
1.76676676677,6.5e-07,1.495
1.77177177177,6.52e-07,1.48
1.77677677678,6.55e-07,1.465
1.78178178178,6.58e-07,1.45
1.78678678679,6.67e-07,1.435
1.79179179179,6.8e-07,1.42
1.7967967968,7e-07,1.405
1.8018018018,7.36e-07,1.39
1.80680680681,8.05e-07,1.38
1.81181181181,9.23e-07,1.365
1.81681681682,1.105e-06,1.36
1.82182182182,1.354e-06,1.35
1.82682682683,1.657e-06,1.35
1.83183183183,2.08e-06,1.34
1.83683683684,2.49e-06,1.34
1.84184184184,2.94e-06,1.34
1.84684684685,3.41e-06,1.34
1.85185185185,3.9e-06,1.34
1.85685685686,4.42e-06,1.34
1.86186186186,4.95e-06,1.34
1.86686686687,5.49e-06,1.345
1.87187187187,6.04e-06,1.345
1.87687687688,6.61e-06,1.35
1.88188188188,7.18e-06,1.35
1.88688688689,7.74e-06,1.355
1.89189189189,8.33e-06,1.355
1.8968968969,8.93e-06,1.36
1.9019019019,9.51e-06,1.365
1.90690690691,1.011e-05,1.365
1.91191191191,1.069e-05,1.37
1.91691691692,1.13e-05,1.375
1.92192192192,1.189e-05,1.38
1.92692692693,1.248e-05,1.38
1.93193193193,1.305e-05,1.385
1.93693693694,1.363e-05,1.39
1.94194194194,1.422e-05,1.395
1.94694694695,1.48e-05,1.395
1.95195195195,1.539e-05,1.4
1.95695695696,1.597e-05,1.405
1.96196196196,1.656e-05,1.41
1.96696696697,1.715e-05,1.415
1.97197197197,1.774e-05,1.42
1.97697697698,1.832e-05,1.42
1.98198198198,1.891e-05,1.425
