"V","Ib","Ve"
1.38638638639,4.41e-07,0.772
1.39139139139,4.43e-07,0.777
1.3963963964,4.45e-07,0.782
1.4014014014,4.47e-07,0.787
1.40640640641,4.51e-07,0.791
1.41141141141,4.54e-07,0.796
1.41641641642,4.55e-07,0.801
1.42142142142,4.57e-07,0.806
1.42642642643,4.62e-07,0.811
1.43143143143,4.65e-07,0.815
1.43643643644,4.66e-07,0.82
1.44144144144,4.67e-07,0.825
1.44644644645,4.7e-07,0.83
1.45145145145,4.73e-07,0.835
1.45645645646,4.79e-07,0.839
1.46146146146,4.8e-07,0.844
1.46646646647,4.82e-07,0.849
1.47147147147,4.85e-07,0.854
1.47647647648,4.9e-07,0.859
1.48148148148,4.93e-07,0.863
1.48648648649,4.94e-07,0.868
1.49149149149,4.97e-07,0.873
1.4964964965,4.99e-07,0.878
1.5015015015,5.02e-07,0.883
1.50650650651,5.04e-07,0.888
1.51151151151,5.06e-07,0.893
1.51651651652,5.09e-07,0.898
1.52152152152,5.11e-07,0.903
1.52652652653,5.13e-07,0.908
1.53153153153,5.18e-07,0.913
1.53653653654,5.21e-07,0.918
1.54154154154,5.21e-07,0.923
1.54654654655,5.25e-07,0.928
1.55155155155,5.28e-07,0.932
1.55655655656,5.3e-07,0.937
1.56156156156,5.31e-07,0.942
1.56656656657,5.32e-07,0.947
1.57157157157,5.39e-07,0.952
1.57657657658,5.42e-07,0.957
1.58158158158,5.43e-07,0.962
1.58658658659,5.43e-07,0.966
1.59159159159,5.5e-07,0.971
1.5965965966,5.52e-07,0.976
1.6016016016,5.55e-07,0.981
1.60660660661,5.54e-07,0.986
1.61161161161,5.55e-07,0.991
1.61661661662,5.62e-07,0.996
1.62162162162,5.62e-07,1.0
1.62662662663,5.68e-07,1.005
1.63163163163,5.67e-07,1.01
1.63663663664,5.75e-07,1.015
1.64164164164,5.73e-07,1.02
1.64664664665,5.76e-07,1.025
1.65165165165,5.78e-07,1.03
1.65665665666,5.79e-07,1.035
1.66166166166,5.86e-07,1.04
1.66666666667,5.88e-07,1.045
1.67167167167,5.9e-07,1.049
1.67667667668,5.9e-07,1.054
1.68168168168,5.95e-07,1.059
1.68668668669,6e-07,1.064
1.69169169169,6e-07,1.068
1.6966966967,6.03e-07,1.073
1.7017017017,6.04e-07,1.078
1.70670670671,6.06e-07,1.083
1.71171171171,6.13e-07,1.087
1.71671671672,6.13e-07,1.092
1.72172172172,6.17e-07,1.097
1.72672672673,6.17e-07,1.101
1.73173173173,6.19e-07,1.106
1.73673673674,6.24e-07,1.111
1.74174174174,6.26e-07,1.116
1.74674674675,6.29e-07,1.121
1.75175175175,6.34e-07,1.127
1.75675675676,6.32e-07,1.132
1.76176176176,6.4e-07,1.136
1.76676676677,6.42e-07,1.141
1.77177177177,6.42e-07,1.146
1.77677677678,6.43e-07,1.151
1.78178178178,6.46e-07,1.156
1.78678678679,6.48e-07,1.161
1.79179179179,6.53e-07,1.166
1.7967967968,6.58e-07,1.171
1.8018018018,6.58e-07,1.176
1.80680680681,6.64e-07,1.181
1.81181181181,6.62e-07,1.186
1.81681681682,6.65e-07,1.19
1.82182182182,6.67e-07,1.195
1.82682682683,6.7e-07,1.2
1.83183183183,6.71e-07,1.205
1.83683683684,6.77e-07,1.21
1.84184184184,6.81e-07,1.215
1.84684684685,6.78e-07,1.219
1.85185185185,6.84e-07,1.224
1.85685685686,6.87e-07,1.229
1.86186186186,6.87e-07,1.234
1.86686686687,6.92e-07,1.239
1.87187187187,6.93e-07,1.244
1.87687687688,6.96e-07,1.249
1.88188188188,6.99e-07,1.254
1.88688688689,6.99e-07,1.259
1.89189189189,7.02e-07,1.263
1.8968968969,7.07e-07,1.268
1.9019019019,7.14e-07,1.273
1.90690690691,7.12e-07,1.278
1.91191191191,7.17e-07,1.283
1.91691691692,7.2e-07,1.288
1.92192192192,7.21e-07,1.293
1.92692692693,7.22e-07,1.298
1.93193193193,7.23e-07,1.302
1.93693693694,7.31e-07,1.307
1.94194194194,7.3e-07,1.312
1.94694694695,7.33e-07,1.317
1.95195195195,7.36e-07,1.321
1.95695695696,7.42e-07,1.326
1.96196196196,7.45e-07,1.331
1.96696696697,7.47e-07,1.336
1.97197197197,7.47e-07,1.34
1.97697697698,7.48e-07,1.345
1.98198198198,7.5e-07,1.35
1.98698698699,7.57e-07,1.355
1.99199199199,7.59e-07,1.359
1.996996997,7.58e-07,1.364
2.002002002,7.59e-07,1.371
2.00700700701,7.64e-07,1.376
2.01201201201,7.68e-07,1.381
2.01701701702,7.72e-07,1.386
2.02202202202,7.69e-07,1.391
2.02702702703,7.75e-07,1.396
2.03203203203,7.81e-07,1.401
2.03703703704,7.84e-07,1.406
2.04204204204,7.83e-07,1.411
2.04704704705,7.88e-07,1.416
2.05205205205,7.91e-07,1.421
2.05705705706,7.9e-07,1.426
2.06206206206,7.95e-07,1.431
2.06706706707,7.96e-07,1.436
2.07207207207,8.01e-07,1.44
2.07707707708,8.01e-07,1.445
2.08208208208,8.07e-07,1.45
2.08708708709,8.03e-07,1.455
2.09209209209,8.08e-07,1.46
2.0970970971,8.12e-07,1.464
2.1021021021,8.19e-07,1.469
2.10710710711,8.14e-07,1.474
