"V","Ib","Ie"
0.00174049878322,-1.8e-09,-5e-10
0.00175540122335,-1.7e-09,-5e-10
0.00177043126065,-1.6e-09,-7e-10
0.00178558998763,-1.6e-09,-6e-10
0.00180087850615,-1.5e-09,-3e-10
0.00181629792751,-1.7e-09,-6e-10
0.00183184937252,-1.6e-09,-4e-10
0.00184753397159,-1.8e-09,-6e-10
0.00186335286481,-1.6e-09,-7e-10
0.00187930720202,-1.8e-09,-5e-10
0.00189539814293,-1.7e-09,-4e-10
0.00191162685714,-1.4e-09,-5e-10
0.00192799452431,-1.6e-09,-6e-10
0.00194450233416,-1.5e-09,-5e-10
0.00196115148663,-1.4e-09,-7e-10
0.00197794319192,-1.8e-09,-6e-10
0.00199487867057,-1.6e-09,-3e-10
0.00201195915361,-1.5e-09,-6e-10
0.00202918588259,-1.7e-09,-4e-10
0.00204656010969,-1.5e-09,-4e-10
0.00206408309781,-1.5e-09,-6e-10
0.00208175612068,-1.4e-09,-4e-10
0.0020995804629,-1.1e-09,-5e-10
0.0021175574201,-1.7e-09,-4e-10
0.00213568829901,-1.3e-09,-6e-10
0.00215397441751,-1.4e-09,-6e-10
0.00217241710481,-1.5e-09,-7e-10
0.00219101770146,-1.5e-09,-5e-10
0.00220977755951,-1.5e-09,-6e-10
0.00222869804259,-1.5e-09,-7e-10
0.002247780526,-1.5e-09,-6e-10
0.0022670263968,-1.5e-09,-5e-10
0.00228643705395,-1.2e-09,-7e-10
0.00230601390837,-1.4e-09,-6e-10
0.00232575838308,-1.3e-09,-7e-10
0.00234567191326,-1.3e-09,-7e-10
0.00236575594641,-1.4e-09,-3e-10
0.00238601194238,-1.5e-09,-3e-10
0.00240644137357,-1.2e-09,-5e-10
0.00242704572494,-1.3e-09,-3e-10
0.0024478264942,-1.2e-09,-6e-10
0.00246878519186,-1.3e-09,-2e-10
0.00248992334137,-1.4e-09,-4e-10
0.00251124247924,-1.5e-09,-5e-10
0.00253274415511,-1.3e-09,-7e-10
0.00255442993191,-1.2e-09,-5e-10
0.00257630138594,-1.3e-09,-5e-10
0.002598360107,-1.4e-09,-2e-10
0.00262060769849,-1.3e-09,-3e-10
0.00264304577757,-1.4e-09,-7e-10
0.00266567597521,-1.2e-09,-5e-10
0.00268849993636,-1.3e-09,-6e-10
0.00271151932007,-1.2e-09,-4e-10
0.00273473579958,-1.1e-09,-6e-10
0.00275815106244,-9e-10,-7e-10
0.00278176681068,-1.3e-09,-3e-10
0.00280558476088,-1.2e-09,-4e-10
0.00282960664434,-1.5e-09,-9e-10
0.00285383420715,-1.2e-09,-6e-10
0.00287826921039,-1.3e-09,-2e-10
0.0029029134302,-1.3e-09,-6e-10
0.00292776865791,-1.4e-09,-6e-10
0.00295283670022,-1.1e-09,-7e-10
0.00297811937927,-1e-09,-7e-10
0.00300361853284,-1.1e-09,-2e-10
0.00302933601439,-9e-10,-5e-10
0.0030552736933,-1e-09,-4e-10
0.00308143345493,-1.3e-09,-3e-10
0.0031078172008,-1.3e-09,-7e-10
0.00313442684868,-1.1e-09,-6e-10
0.0031612643328,-1.2e-09,-5e-10
0.00318833160392,-1.4e-09,-6e-10
0.00321563062952,-1.2e-09,-8e-10
0.00324316339391,-1.5e-09,-3e-10
0.00327093189842,-1.3e-09,-7e-10
